Rank,Academics/Work/Career Development,,,Family & Home Life,,,Finances,,,Mental Health,,,Physical Health,,,Social Situations,,,Romantic Relationships,,
,Resource,Link,Text in App,Resource,Link,Text in App,Resource,Link,Text in App,Resource,Link,Text in App,Resource,Link,Text in App,Resource,Link,Text in App,Resource,Link,Text in App
1,Care and Support Services (CASS) on Call,https://caresupport.studenthealth.virginia.edu/care-and-support-services/cass-call,"CASS on Call is a 24/7/365 phone line through the University of Virginia’s Care and Support Services that offers urgent, non-clinical consultation and referrals for students’ safety, well-being, and urgent needs that can’t wait until the next business day. It connects students with appropriate resources for issues like significant illness, urgent mental health concerns, safety resources, emergency housing, or engaging with emergency contacts.",If You're Reading This UVA,,"Are you struggling with homesickness? You're not alone. Check out If You're Reading This UVA, a website where UVA students share challenges they've faced and offer words of support.  ",Student Health and Wellness,,"Student Health and Wellness offers financial resources and tips that can help you improve your financial security, such as budgeting, emergency funds, and reducing expenses. "," CAPS ""Let's Talk"": Drop-In Consults",,"Free, confidential consults with a CAPS therapist are available globally for UVA Students who have non-emergency concerns. Please reach out for help if you are struggling.",Student Health,,"Visit Student Health, located at 550 Brandon Avenue, for all of your medical, laboratory, and pharmacy needs. ",Hoos Involved,,"UVA has 1,000+ student organizations that you can be a part of. Hoos involved helps students find organizations and events that are present on and around Grounds. Get involved today!",Hoos Involved,,"Friendships you make in UVA clubs and organizations may lead to something more! Sign up, help out, and meet your community!"
2,UVA Writing Center,,Don't stay stuck working on a paper! Reach out to a consultant at the UVA Writing Center.,Dealing with Homesickness,https://caps.ku.edu/homesickness ,Unsure of how to cope with homesickness? There is a step-by-step guide from CAPS at Kansas University that can help you manage these feelings as you navigate college. ,SFS,,Looking to apply for a scholarship or grant? Student Financial Services provides information on the application process for scholarships and grants funded by and outside of the university and how they affect your financial aid. ,TimelyCare,,Free scheduled telehealth visits with a mental health provider for UVA students. Access 24/7 virtual care from anywhere!,WahooWell,,"WahooWell is a positive, free, confidential, and non-judgmental resource. You will meet with a well-being facilitator who will help you accomplish personally meaningful goals regarding stress, sleep, and social health. ",Lean on Me UVA,,"Lean on Me provides peer-to-peer text lines that allow for easy access to confidential non-crisis support. Anytime you feel lonely and need someone to talk to, Lean on Me will be there at 434-300-3434. ",The Women's Center Well-Being/Counseling,,The Women's Center of Virginia offers individual as well as couples counseling that is empowerment-based and derived from evidence-based approaches. 
3,UVA Career Center,,"The UVA Career Center houses information, tips, and job or internship ideas depending on your chosen career.",CAPS Group Therapy: Interpersonal Process Group,,Having issues with family? This group helps students to understand their identity and self-worth while also learning how to improve communication with others. ,UVA Parents Program,,"If you are facing unexpected financial hardships, you can apply for a one-time grant through the UVA Parents Rainy Day Fund to help cover travel expenses, tuition payments, and more. ",HELP Line,,"HELP Line is a free, confidential, 24/7 telephone hotline serving Albemarle County. Volunteers can provide judgement-free listening and help refer you to long-term services. You can reach them at 434-924-TALK. ",Peer Health Educators (PHEs),,"PHEs are trained undergraduate students who share their knowledge of  health and wellness topics with residence halls, fraternity/sororities (FOA approved), and student groups. They also offer one-on-one health consultations. ",WahooWell,,"WahooWell is a positive, free, confidential, and non-judgmental resource. You will meet with a well-being facilitator who will help you accomplish personally meaningful goals regarding stress, sleep, and social health. ",The Painful Truth About Breakups ,,"Have you recently gone through a break-up? The Jed Foundation is a non-profit that helps young people cope with challenges, such as break-ups, and manage their emotional health. "
4,The Undergraduate Record,,"From academic caldenars calendars to university regulations, The Undergraduate Student Record provides all the information you need to know about being an undergraduate student at UVA. ",The Better Health Channel,https://www.betterhealth.vic.gov.au/health/healthyliving/family-conflict#bhc-content ,"The Better Help Channel provides resources to help people maintain their health and well-being, including how to navigate conflict that might arise within your family.",ODOS,,"If you experiecing a financial emergency, you can apply for an Honor Loan or an SFS Emergency Loan through ODOS.",If you're reading this UVA,,"If You're Reading This UVA is a mental health resource where students, faculty, and alumni share their journeys and offer words of support. You can also read letters from other universities and submit your own story.  ",Mindfulness Center,,Mindfulness meditiation improves your physical health and wellbeing. Guided meditations offered by the Mindfulness Center here at UVA may help you!,LGBTQ Center,,"Housed on the third floor of Newcomb Hall, the LGBTQ Center is a physical space and programming center that raises awareness and promotes inclusion for individuals who identidy as LGBTQ and allies.",Small Things Often Podcast,,"Available on Spotify and Apple Podcasts, Small Things Often offers research-based tips to help you improve your relationship every Monday and Wednesday mornings. "
5,Student Disability Access Center,,The Student Disability Access Center (SDAC) provides students with accomodations to ensure that all students can participate in opportunities around Grounds.  ,Mental Health America,,"Mental Health America is a non-profit whose mission is to to promote mental health. Among other things, MHA offers tips on how you can talk to your loved ones about mental health.",ODOS,,ODOS has partnered with the Career Center to help students find employment opportunities on- and off-grounds. Check out listings that may be the right fit for you!,CAPS Individual Therapy,,"Don't be afraid to reach out to CAPS for free, individualized therapy.",Aquatic and Fitness Center,,"The Aquatic Fitness Center, located on 450 Whitehead Rd, offers an Olympic sized pool, fitness classes, and many other opportunities to engage in physical exercise. ",Queer Student Union,,"Join the Queer Student Union to be educated, empowered, and connected with other members through a range of programming and advocacy work. ",Gottman Card Decks App,,"Available on iTunes and the Google Play store, the Gottman Institute Card Decks App offers research-based questions, statements, and ideas for improving your relationship. "
6,Hoos' List,https://hooslist.virginia.edu/,"Deciding what classes to enroll in next semester? Made for UVA students, Hoos' List gives you an extensive list of class options. ",Hoos First - Support for First-Gen Students,,"From the Office of the Dean of Students (ODOS), Hoos First offers support for first-generation students through programming, social events, and building a network of connection.  ",UVA Community Food Pantry,,"The UVA Community Food Pantry, now located in Newcomb Hall, is open to all students during SAC hours (7am-12am Monday through Thursday & Saturday, 7am-9pm Friday, 8am-12am Sunday). ",CAPS Group Therapy,,"CAPS offers multiple group options, such as skills groups, support groups, and interpersonal process groups that can  help you tackle challenging subjects while building bonds with community members. ",UVA Walking Trails,,"Looking to incorporate physical activity into your day? There are a lot of places to walk around Grounds, including the McCormick Dorms Loop (.6 mi), Old Ivy Trail (.8 mi), West Lawn Loop (.4 mi), and more!",Multicultural Student Services Advising and Personal Support,,"Multicultural Student Services (MSS) at the University of Virginia supports intercultural engagement and student success by offering programs, support, and community-building opportunities through several identity-focused centers—including the Multicultural Student Center, LGBTQ Center, Latinx Student Center, Interfaith Student Center, and Asian American Student Center—open to all students.",,,"Using your answers to questions and a computer science algorithm, The Marriage Pact at UVA will try to find your optimal match on grounds! It works to address loneliness by matching users with other students similar to them -- and they say romance is dead!"
7,The Course Forum,,"Deciding what classes to enroll in next semester? Created by and for UVA students, The Course Forum allows students to browse potential courses and read other students' reviews.   ",First Generation Low Income Student Support ,,"From the Office of the Dean of Students (ODOS), First Generation Low Income Student Support promotes a sense of belonging, community, and connection for first-generation, low income, and military-affiliated/veteran students through programs such as one-on-one meetings, panels, and financial assistance. ",Women's Center,,"The Women's Center has a food pantry! It is located on the main floor of the building and is open from 9am-5pm Monday, Thursday, and Friday and 9am-8pm Tuesday and Wednesday during the academic year. As well as food, the pantry also provides basic hygiene products.  ",Student Health and Wellness - Care Management,,Not sure where to start? Questions about insurance? A CAPS Care Manager can help you get started and access mental health care both on- and off- Grounds.,UVA Intramurals,,"Physical exercise is important. UVA Intramurals offers many opportunities to get involved in an intramural sport or recreation that you enjoy, such as tennis, volleyball, and more!",Hoos Connected,,"Feeling lonely is more common than you think. Get to know other students while earning credit with Hoos Connected, a program that brings together 8-10 students to discuss what makes meaningful connections. ",LGBTQ+ Support Group,,"Through CAPS, the LGBTQ+ Support Group is a space where students can explore their gender and sexuality and is focused on fostering healthier adjustment and self-development. "
8,Handshake,,"Handshake connectes students directly with potential employers and offers resources for job-hunting students, including Career Counseling appointments that can strengthen your academic and career path.",UVA International Students and Scholars Program,,"Do you have questions about being an international student? The International Students and Scholars Program, a division of the International Studies Office, offers cultural, social, educational, and legal resources that help meet the unique needs of international students. ",Food Stamp Offices in Virginia,https://www.vplc.org/snap-calculator/?gad_source=1&gad_campaignid=14923950841&gbraid=0AAAAAoKbdoz2TIAIKJesE2BWS0SJ_WlfH&gclid=CjwKCAiA95fLBhBPEiwATXUsxA0EROhaR9bvrdhVrbLGC-pmGke_CGrz9SF9n5uMBT_s4KcfZd5s0hoCrp8QAvD_BwE,Search here to find Virginia's food stamp offices.,UVA Mindfulness Center,,"Through UVA's Medical School, the Mindfulness Center offers online classes, events, recordings, and resources for people interested in developing mindfulness skills. ",Teaching Kitchen,,"Join students at the Teaching Kitchen at Student Health and Wellness. The Kitchen is home to the Hoo’s Cooking nutrition education and culinary skills classes, which are hands-on and led by fellow students, dietic interns, registered dieticians, professional chefs, and special guests. ",,,,Find a Couples Therapist,,"Looking for a couples therapist? The Gottman Institute, whose mission is to promote love and health in relationships, can guide you in finding the right provider for you and your partner in your area. "
9,Math Collaborative Learning Center,,"Tutoring is for everyone! Housed on the second floor of Clemmons Library, the Math Collaborative Learning Center offers free assitance for various math courses.",Food Stamp Offices in Virginia,https://www.vplc.org/snap-calculator/?gad_source=1&gad_campaignid=14923950841&gbraid=0AAAAAoKbdoz2TIAIKJesE2BWS0SJ_WlfH&gclid=CjwKCAiA95fLBhBPEiwATXUsxA0EROhaR9bvrdhVrbLGC-pmGke_CGrz9SF9n5uMBT_s4KcfZd5s0hoCrp8QAvD_BwE,Search here to find Virginia's food stamp offices.,Tools from UVA Community Credit Union,https://www.uvacreditunion.org/learn/financial-wellness. ,"Interested in learning about managing your money, investing, or even buying a house? Attend a free, one-hour seminar through UVA Community Credit Union. ",UVA Contemplative Sciences Center,,The CSC's mission is to promote flourishing at various stages of academic and career development. They offer yoga and mindfulness courses and so much more! ,Office of Health Promotion: Nutrition Services,,"Interested in meeting with a registered dietician? You can schedule a nutrition consulation, which is grounded in a weight-neutral, health-forward approach, through the Office of Health Promotion.",,,,National Healthy Marriage Resource Center ,,The National Healthy Marriage Resource Center offers a variety of resources to help married couples develop a healthier relationship. 
